date|text|time
16 Mar 2018|Bharti-Airtel receives more than 1.50 million Aircel customers|4.39 pm
16 Mar 2018|Miffed at evasion, TRAI gives Bharti Airtel 10 days to tell 5 Ws, 1 H of unfair tariffs|8.53 am
14 Mar 2018|Bharti Airtel approves issue of debentures to raise Rs 3,000 cr|3.54 pm
12 Mar 2018|News Highlights: Govt accepts farmers’ demands; 50 killed in Kathmandu plane crash; Airbus A320neos grounded|5.56 pm
12 Mar 2018|Bharti Airtel rises 3% on NCLT approval for scheme of amalgamation|2.14 pm
09 Mar 2018|News Highlights: SC says passive euthanasia permissible, Karti sent to CBI custody for 3 more days|6.15 pm
09 Mar 2018|Bharti Airtel plans to raise up to Rs 3,000 cr via NCDs|5.13 pm
08 Mar 2018|News Highlights: Shami accused of match-fixing; Sri Sri booked; fresh violence in Sri Lanka|12.10 pm
08 Mar 2018|Bharti Airtel, Idea gain up to 4% after govt approves relief package for telecom sector|11.27 am
08 Mar 2018|Bharti Airtel board to meet on March 12 to discuss fund raising|8.58 am
08 Mar 2018|Stocks in the news: SBI, Pidilite, Bhushan Steel, Amtek Auto, Torrent Power, Marico, Coal India|7.54 am
07 Mar 2018|Relief for telcos: Cabinet approves two key measures|8.34 pm
07 Mar 2018|Buy Bharti Airtel, target Rs 505; upbeat on earnings recovery in FY20: Nomura|11.34 am
07 Mar 2018|Short Bharti Airtel, Godfrey Phillips, HPCL; buy IGL, Sun TV Network: Sudarshan Sukhani|10.03 am
03 Mar 2018|Use rallies towards 10,600 to initiate shorts on Nifty; 3 stocks which could give up to 12% return|10.01 am
01 Mar 2018|News highlights of the day: Zomato co-founder Pankaj Chaddah quits|7.13 pm
28 Feb 2018|India will be in step with world on 5G: Sunil Bharti Mittal|8.30 pm
28 Feb 2018|TRAI on predatory pricing: Airtel, Vodafone consider challenging order|4.33 pm
27 Feb 2018|Markets@Moneycontrol: Nifty closes below 10,600, D-Street still worried over PNB fraud|5.07 pm
27 Feb 2018|MWC 2018: Sunil Mittal advocates common networks to push connectivity; admits to resistance|3.30 pm
27 Feb 2018|Airtel, Google partner for low-cost Android Go smartphones|3.09 pm
26 Feb 2018|Airtel joins global alliance to bring high-speed in-flight data connectivity to customers|8.30 am
23 Feb 2018|Airtel, Huawei conduct India's first 5G trial|6.56 pm
23 Feb 2018|Buy Bharti Airtel, CESC, Tata Elxsi, Engineers India: Mitessh Thakkar|3.38 pm
15 Feb 2018|News highlights of the day: Indian digital payments to reach $1 trillion by 2023, says Credit Suisse|8.00 am
12 Feb 2018|Buy Bata India, Cipla, Hindustan Unilever, Tata Elxsi; sell Bharti Airtel: Sudarshan Sukhani|9.23 am
08 Feb 2018|4G smartphones may cost just Rs 500 very soon|10.43 am
06 Feb 2018|Market rout: Some stocks still managed to hit 52-week highs|2.51 pm
05 Feb 2018|Singtel injects Rs 2,649 crore in Bharti Telecom; hikes stake|5.08 pm
05 Feb 2018|Bharti Airtel jumps 6% as Singtel to invest Rs 2,649 cr in parent company|12.50 pm
05 Feb 2018|Singtel to invest Rs 2,649 cr in Bharti Telecom|8.30 am
19 Jan 2018|Buy Bharti Airtel; target of Rs 600: Sharekhan|5.38 pm
18 Jan 2018|Buy Bharti Airtel; target of Rs 475: JM Financial|8.47 pm
18 Jan 2018|Bharti Airtel Q3 earnings to remain subdued, profit may fall 21%|10.05 am
31 Jan 2018|Bharti Airtel did not submit a firm bid for Nigeria's 9mobile|8.43 pm
31 Jan 2018|Buy Bharti Airtel, Tech Mahindra; short TVS Motor: Yogesh Mehta|1.15 pm
31 Jan 2018|News Highlights: Offshore India funds, ETFs pump in $6.5 bn in 2017|7.11 am
30 Jan 2018|Telcos commit over Rs 74,000 cr to curb call drops: Secy|8.35 pm
24 Jan 2018|Users to pay Rs 2.7 for per GB data after new Jio offer: Report|6.47 pm
