date|text|time
14 Mar 2018|Sell Bajaj Auto, Tata Power; buy Pidilite Industries: Sudarshan Sukhani|12.33 pm
12 Mar 2018|Bike makers offer mini clones of superbikes at a fraction of the price|11.44 am
01 Mar 2018|News highlights of the day: Zomato co-founder Pankaj Chaddah quits|7.13 pm
01 Mar 2018|Believe Maruti will touch new highs in coming months: LKP Securities|4.47 pm
01 Mar 2018|Bajaj Auto sees robust sales for March; export markets doing well: Ravikumar|11.01 am
01 Mar 2018|Bajaj Auto gains 2% after its Feb sales rise 31%; exports spike 26%|9.41 am
01 Mar 2018|Bajaj Auto sells 3.57 lakh vehicles in February 2018|9.16 am
01 Mar 2018|Bajaj Auto sells 3.57 lakh vehicles in February 2018|9.16 am
19 Feb 2018|Exports slowdown: Experts discuss whether worse to come|12.25 pm
17 Feb 2018|This week in Auto: Auto Expo concludes, Govt says EV policy not required|2.26 pm
14 Feb 2018|Accumulate Bajaj Auto; target of Rs 3504: KR Choksey|3.27 pm
06 Feb 2018|Hold Bajaj Auto; target of Rs 3400: ICICI Securities|5.03 pm
05 Feb 2018|Hold Bajaj Auto; target of Rs 3399: Edelweiss Securities|8.47 pm
05 Feb 2018|Hold Bajaj Auto; target of Rs 3399: Edelweiss Securities|8.47 pm
05 Feb 2018|Buy Bajaj Auto; target of Rs 3641: LKP Research|5.38 pm
05 Feb 2018|Accumulate Bajaj Auto; target of Rs 3504: KR Choksey|3.27 pm
02 Feb 2018|Expect exports & domestic CV to do well in Q4: Bajaj Auto|3.38 pm
02 Feb 2018|Bajaj Auto Q3 net profit at Rs 952.4 crore; operating margin contracts|2.09 pm
01 Feb 2018|Bajaj Auto Q3 profit seen up 14%, healthy sales volumes may drive revenue growth|8.14 pm
01 Feb 2018|Buy Bajaj Auto; target of Rs 3905: Axis Direct|4.30 pm
02 Feb 2018|Buy Bajaj Auto, Biocon; sell Canara Bank, Chennai Petro: Sudarshan Sukhani|11.26 am
02 Feb 2018|Bajaj Auto shares hit record high post strong January sales, ahead of Q3 earnings|10.00 am
02 Feb 2018|News Highlights: Inflation risks overdone; RBI rate cut likely in Aug, says BofAML report|8.49 am
02 Feb 2018|Stocks in the news: Bajaj Auto, Hindalco, Lupin, Grasim Industries, Ucal Fuel, Atul Auto|8.00 am
31 Jan 2018|Bajaj Auto workers go on hunger strike at Akurdi, Chakan plants|8.57 am
29 Jan 2018|Buy Bajaj Auto, Zee Entertainment: Sandeep Wagle|3.34 pm
22 Jan 2018|Ola plans to go big on electric vehicles; may launch e-rickshaws soon|10.54 am
18 Jan 2018|Bajaj Auto rises 1%; Axis Capital upgrades to buy, target raises to Rs 3,905|11.25 am
17 Jan 2018|Bajaj Auto can climb to Rs 3230, Larsen & Toubro Rs 1355: Prakash Gaba|3.08 pm
11 Jan 2018|Expect 'V' brand bike sales to increase to 15000 units per month: Bajaj Auto|12.32 pm
10 Jan 2018|Bajaj Auto is confident of 8% jump in market share in 2 months|4.05 pm
10 Jan 2018|News highlights of the day: A Raja slams Manmohan Singh, calls Vinod Rai 'sutradhaar' of 2G case|11.20 am
04 Jan 2018|Bajaj Auto to ride on the Discover brand once again with a new launch on Jan 10|1.23 pm
02 Jan 2018|Bajaj Auto sales up 30% in December at 2,92,547 units|1.26 pm
02 Jan 2018|Top buzzing midcap stocks to trade on January 2|12.33 pm
02 Jan 2018|Expect growth in 3-wheelers to sustain for next 4-5 months: Bajaj Auto|11.11 am
02 Jan 2018|Bajaj Auto sells 2.92 lakh units in December 2017|9.54 am
02 Jan 2018|Bajaj Auto December sales jump 30% to 2.92 lakh units on strong exports, 3-wheeler|9.49 am
02 Jan 2018|News highlights of the day: Govt open to increase deposit insurance cap of 1 lakh, says FM Jaitley|7.13 am
28 Dec 2017|Promoter entities transact Rs 2,479-cr shares in Bajaj cos|8.55 am
15 Dec 2017|Buy Bajaj Auto, advises Prakash Gaba|3.29 pm
06 Dec 2017|Placement season: 540 PG students at IIT-Madras get offers in first four days|3.32 pm
01 Dec 2017|Bajaj Auto November sales increase 21% to 3.26 lakh units, exports grow 27%|10.28 am
01 Dec 2017|Bajaj Auto sells 3.26 lakh units in November 2017|10.27 am
01 Dec 2017|News Highlights of the Day: Search operation on in J&K's Baramulla after reports on terrorists|7.22 am
30 Nov 2017|More companies say no to Auto Expo, claim costs prohibitively high and returns low|10.27 am
30 Nov 2017|Top buy & sell ideas by Ashwani Gujral, Mitessh Thakkar & Prakash Gaba for November 30|8.10 am
24 Nov 2017|Bajaj Auto up 2%; Motilal Oswal upbeat on stock|2.40 pm
24 Nov 2017|Buy, Sell, Hold: 2 stocks and 3 sectors are in focus today|8.44 am
13 Nov 2017|KTM to roll out Husqvarna brand in India by 2020|3.30 pm
08 Nov 2017|Bajaj Auto's Eric Vas sees market share reaching 23-25% by March|10.47 am
08 Nov 2017|Bajaj working on bigger Avenger to take on Royal Enfield Thunderbird|7.42 am
07 Nov 2017|Triumph-Bajaj Auto co-developed bikes likely to hit market by 2021|5.50 pm
02 Nov 2017|Bajaj Auto launches Pulsar NS200 with ABS priced at Rs1.09lakh|3.17 pm
02 Nov 2017|Bajaj Auto October sales up 7.38% at 3,82,464 units|12.28 pm
02 Nov 2017|Expect 20% growth in second half of FY18: Bajaj Auto|11.53 am
02 Nov 2017|Bajaj Auto sells 3.82 lakh units in October 2017|9.00 am
02 Nov 2017|News Live: Bank of England hikes key interest rate by 25 bps for the first time in a decade|7.16 am
24 Oct 2017|Bajaj Auto may hike prices in Jan, expects Maha govt to reimburse Rs 1500 cr in tax|2.47 pm
24 Oct 2017|Bajaj targets 24% market share by March, capex of Rs 250-300 cr next year|1.58 pm
23 Oct 2017|No official notification of 3-wheeler import ban in Sri Lanka yet: Bajaj Auto|12.32 pm
20 Oct 2017|Why does Bajaj Auto continue to persist with a money guzzler?|12.49 pm
17 Oct 2017|Buy Bajaj Auto on dips, says Sharmila Joshi|4.11 pm
16 Oct 2017|Buy Bajaj Auto, Oberoi Realty, Jubilant Foodworks, Gujarat Gas, Chennai Petro, Federal Bank: Ashwani Gujral|3.24 pm
11 Oct 2017|Here are technical picks from Kotak Securities|10.32 am
09 Oct 2017|Buy Bajaj Auto, JSW Steel, Tata Power: Rahul Shah|2.28 pm
05 Oct 2017|Bajaj Auto becomes most valuable bike-maker, pips Eicher Motors|11.11 am
03 Oct 2017|Buy Bajaj Auto, Eicher Motors, Tata Motors, BPCL, Titan Company: VK Sharma|10.32 am
29 Sep 2017|Buy Bajaj Auto; sell Canara Bank: Mitessh Thakkar|2.35 pm
26 Sep 2017|Pressure on mid & smallcaps may continue; 5 stocks which could give up to 12% return|10.08 am
19 Sep 2017|Buy Bajaj Auto, Sun TV, Mahindra Life, Jai Corp, Divis Laboratories: Ashwani Gujral|11.13 am
18 Sep 2017|Buy Larsen & Toubro, Bajaj Auto, Capital First, ONGC, Allahabad Bank: Mitessh Thakkar|11.07 am
15 Sep 2017|Buy Bajaj Auto, L&T Finance Holdings: Sandeep Wagle|3.39 pm
01 Sep 2017|Bajaj Auto sales up 3% in August at 3,35,031 units|12.41 pm
30 Aug 2017|Will Triumph tie-up help Bajaj Auto make adequate inroads?|12.53 pm
22 Aug 2017|Bajaj Auto launches electric start CT100 priced Rs 41,997|6.09 pm
17 Aug 2017|Riding high on scooters, two-wheeler cos make entry-level motorbikes pillions|5.14 pm
16 Aug 2017|After winning with KTM, can Bajaj Triumph again?|5.00 pm
14 Aug 2017|Bajaj takes potshots at Royal Enfield in a new Dominar ad|8.56 am
14 Aug 2017|In a first, Flipkart gets a tailor-made mini truck for faster delivery|8.42 am
12 Aug 2017|This week in Auto: Bajaj joins hands with Triumph, Tata-VW call off alliance|12.12 pm
10 Aug 2017|Delhi HC directs Delhi govt to issue 11000 3-wheeler permits in next two months|6.04 pm
09 Aug 2017|Check out: How brokerages rate Bajaj Auto after co enters into JV with UK's Triumph|12.49 pm
08 Aug 2017|Bikes above 250cc up to 750cc are next big opportunity, says Bajaj Auto|1.57 pm
08 Aug 2017|Bajaj Auto, Triumph announce global partnership|1.31 pm
08 Aug 2017|Triumph Motorcycles UK, Bajaj Auto India announce new partnership|1.25 pm
08 Aug 2017|Bajaj Auto ties up with Triumph to make mid-capacity motorcycles|12.58 pm
02 Aug 2017|Retail sales in-line with expectation, things will be normal by September: Bajaj Auto|1.22 pm
02 Aug 2017|Bajaj Auto sales in July decline 7% at 3,07,727 units|11.17 am
02 Aug 2017|Bajaj Auto sells 3.07 lakh units in July 2017|9.29 am
01 Aug 2017|Bajaj launches new variants of CT100 and Platina|5.46 pm
25 Jul 2017|Accumulate Bajaj Auto; target of Rs 3120: KR Choksey|5.12 pm
25 Jul 2017|Hold Bajaj Auto; target of Rs 2780: ICICI Direct|3.03 pm
