date|text|time
16 Mar 2018|Markets@Moneycontrol: Sensex falls by more than 500 pts, sectoral indices in the red|4.54 pm
16 Mar 2018|Mukesh Ambani says Jio was seeded by daughter Isha in 2011|1.52 pm
10 Mar 2018|Reliance Retail acquires 16% stake in US-based KTI for $7 mn|3.36 pm
07 Mar 2018|Mukesh Ambani richest Indian; Jeff Bezos tops global rich list|12.40 pm
07 Mar 2018|Short Reliance Industries, PVR: Amit Gupta|11.37 am
05 Mar 2018|Sell RIL, Tata Steel; buy Whirlpool: Ashwani Gujral|2.18 pm
25 Feb 2018|India Gas Solutions signs MoU with AP to create marketing infra for natural gas|7.53 pm
25 Feb 2018|Reliance inks MoUs with AP govt for Rs 52,000-cr investment|7.34 pm
22 Feb 2018|Buy RIL, Hindalco, Syndicate Bank, BOI, Aurobindo Pharma: Ashwani Gujral|3.42 pm
22 Feb 2018|Centre assures Supreme Court of BS-VI fuel to retail in Delhi from 1 April|11.44 am
22 Feb 2018|Shell may acquire major stake in Hyderabad-based solar firm|11.04 am
22 Feb 2018|December quarter a mixed bag! Top 5 stocks which saw maximum upgrade in FY19 EPS|8.51 am
21 Feb 2018|Mukesh Ambani vows additional Rs 10,000 cr investment in Uttar Pradesh|1.10 pm
21 Feb 2018|Eros International jumps 6% after RIL buys 5% stake in Eros International Plc|9.36 am
21 Feb 2018|News highlights of the day: This is the new map of South India, six hands, six states, says Haasan|7.12 am
20 Feb 2018|RIL to acquire 5% stake in Eros International Plc|10.02 pm
20 Feb 2018|Buy, Sell, Hold: 2 stocks and 1 sector are in focus on February 20, 2018|9.03 am
19 Feb 2018|Markets@Moneycontrol: Sensex, Nifty end on negative note despite recovery in late trade|4.45 pm
19 Feb 2018|News highlights of the day: Centre to invest Rs 1.44 lakh crore in road projects in Karnataka|7.07 am
15 Feb 2018|Buy Reliance Industries, Ceat, Bajaj Finance: Ashwani Gujral|12.07 pm
14 Feb 2018|Buy RIL, Balkrishna Industries, Tech Mahindra, Sonata Software; sell PC Jeweller, Arvind: Ashwani Gujral|2.33 pm
14 Feb 2018|RIL seeks Andhra Pradesh support to set up submarine cable landing station in Vizag|8.04 am
12 Feb 2018|Buy RIL, Amara Raja Batteries, Cholamandalam Investment, Torrent Pharma: Mitessh Thakkar|2.45 pm
08 Feb 2018|Bargain buys? RIL, ZEE Entertainment could give 20% return in the next 6 months|12.46 pm
06 Feb 2018|News highlights of the day: Why should I quit BJP, let the party throw me out, says Yashwant Sinha|7.00 pm
06 Feb 2018|Reliance Brands pitches higher bid than FirstCry.com, may acquire Mothercare’s India distribution rights|5.01 pm
05 Feb 2018|News highlights of the day: State of Emergency declared in Maldives for 15 days as protests continue|11.25 am
29 Jan 2018|Buy Reliance Industries; target of Rs 1125: Axis Direct|3.07 pm
22 Jan 2018|Buy Reliance Industries; target of Rs 1600: KRChoksey|4.18 pm
19 Jan 2018|Petrochem volumes drove compelling Reliance Q3, but Jio stole the show|10.08 pm
19 Jan 2018|RIL could hit record highs on Monday; 10 takeaways from Q3 results|7.29 pm
19 Jan 2018|RIL Q3 net, petchem EBIT up 16%; GRM meets estimates; Jio posts first ever profit at Rs 504 cr|6.22 pm
19 Jan 2018|Buy Reliance Industries; target of Rs 1110: Sharekhan|5.38 pm
18 Jan 2018|80% rally in 1 year! RIL Q3 standalone profit to climb by 3% QoQ|10.52 pm
03 Jan 2018|Buy Reliance Industries; target of Rs 1151: Edelweiss|4.42 pm
03 Feb 2018|Reliance to invest Rs 2,500 crore in Assam, create 80,000 jobs: Mukesh Ambani|1.50 pm
30 Jan 2018|Buy RIL, IndusInd Bank, Tata Steel, Bajaj Auto, Bata India: VK Sharma|9.57 am
29 Jan 2018|At Rs 6.11 lakh crore, TCS becomes the most valued firm again|7.44 pm
29 Jan 2018|RIL gains 1% post JioPhone tariff cut; CLSA maintains target at Rs 1,125|12.10 pm
29 Jan 2018|Buy Reliance Industries, Vedanta, HDFC Bank; sell Hindustan Petroleum Corporation: Chandan Taparia|11.13 am
29 Jan 2018|Buy, Sell, Hold: 7 stocks are on analysts' radar on January 29, 2018|9.23 am
29 Jan 2018|Buy, Sell, Hold: 7 stocks are on analysts' radar on January 29, 2018|9.23 am
26 Jan 2018|Govt nod to RIL, BP acquiring Niko's 10% stake in gas block|12.52 pm
24 Jan 2018|Reliance Eagleford Midstream LLC ceases to be subsidiary of Reliance Industries|1.30 pm
23 Jan 2018|Buy Reliance Industries, LIC Housing Finance, Larsen & Toubro: Chandan Taparia|10.57 am
22 Jan 2018|Buy Reliance Industries, Majesco, BHEL, Godrej Industries: Mitessh Thakkar|3.27 pm
22 Jan 2018|Buy Reliance Industries, ICICI Prudential, Godrej Properties: Ashwani Gujral|2.20 pm
22 Jan 2018|RIL rallies over 2% post Q3 results; brokerages see up to 18% upside in 12 months|10.34 am
22 Jan 2018|Stocks in the news: RIL, Wipro, Axis Bank, Gruh Finance, ONGC, HPCL, DCM Shriram, HDFC Life|8.32 am
19 Jan 2018|Stocks in the news: Airtel, HCL Tech, Kewal Kiran, Biocon, Torrent Pharma, Bhushan Steel|8.19 am
16 Jan 2018|Reliance declares 30% higher refinery capacity at export plant, says PPAC report|5.30 pm
11 Jan 2018|Nifty heads towards 10,800; 3 stocks which can give up to 21% return in 6 months|9.36 am
10 Jan 2018|Buy Reliance Industries, Torrent Power, Strides Shasun; sell Union Bank of India: Sudarshan Sukhani|9.36 am
09 Jan 2018|Buy RIL, Raymond; sell Jet Airways: Ashwani Gujral|12.08 pm
03 Jan 2018|RIL likely to see big cash flow boost, says CLSA report|5.00 pm
03 Jan 2018|Reliance rallies after it commissions new ROGC at Jamnagar refinery|9.46 am
03 Jan 2018|Buy Hexaware Tech, NTPC, Bata India; sell LIC Housing Finance, Canara Bank: Sudarshan Sukhani|9.02 am
03 Jan 2018|Stocks in the news: Reliance Industries, Dixon Technologies, Apar Industries, Yash Papers, IVRCL|8.08 am
01 Jan 2018|L&T wins Rs 2,100 crore contracts from HPCL, Reliance Industries|7.24 pm
29 Dec 2017|Telecom sector in 2017: A year marked by bitter competition and consolidation|4.56 pm
29 Dec 2017|Buy Reliance Industries, Infosys, Dish TV: Sudarshan Sukhani|12.26 pm
28 Dec 2017|Reliance Jio, RCom wireless assets deal a 'win-win' for both players|8.26 pm
28 Dec 2017|Sell Reliance Industries, Balrampur Chini; buy UPL: Ashwani Gujral|12.36 pm
27 Dec 2017|Buy Reliance Industries, Cipla, Yes Bank; sell Bank of Baroda: Sudarshan Sukhani|9.46 am
23 Dec 2017|RIL@40: Mukesh Ambani unveils his vision for Reliance|9.44 pm
22 Dec 2017|Mcap of BSE-listed cos hits record high of over Rs 150 lakh cr|5.43 pm
22 Dec 2017|News highlights of the day: Donald Trump signs US Tax bill|7.08 am
21 Dec 2017|Accenture sees AI adding a whopping $957 bn to GDP by 2035|4.47 pm
21 Dec 2017|Moolah miners of 2017: Jeff Bezos tops on Forbes' biggest billionaire gainers list|1.48 pm
15 Dec 2017|Buy Reliance Industries, Ajanta Pharma, Zee Entertainment, Hexaware; short BEML: Sudarshan Sukhani|10.03 am
12 Dec 2017|Reliance Jio may hike tariffs in 2018: OpenSignal|3.10 pm
12 Dec 2017|Govt may tweak definition of petroleum to rope in shale, private players may benefit|11.41 am
07 Dec 2017|Buy RIL, Bharat Financial, DHFL, Bharat Forge, M&M Financial; sell Grasim: Sudarshan Sukhani|12.40 pm
05 Dec 2017|Buy Reliance Industries, sell Tata Motors: Rajat Bose|1.15 pm
01 Dec 2017|Ahead of schedule in generating returns on Jio, says Mukesh Ambani|6.01 pm
01 Dec 2017|Mukesh Ambani's message to telecom competitors: Some losses worth taking, big boys can afford them|4.46 pm
01 Dec 2017|India has the potential to become a $10 trillion economy by 2030: Mukesh Ambani|1.46 pm
29 Nov 2017|CLSA bets on JioPhone to drive growth for Reliance|12.18 pm
27 Nov 2017|News as-it-happened: NK Singh appointed chairman of 15th Finance Commission|7.13 am
26 Nov 2017|Seven of top-10 most valued cos add Rs 54,174 crore in mcap|2.30 pm
24 Nov 2017|Reliance Industries sells stake in Marcellus Shale to BKV Chelsea for $ 126 mn|12.32 pm
24 Nov 2017|Buy Reliance Industries, TVS Motor: Chandan Taparia|9.43 am
24 Nov 2017|Reliance closes recently announced sale of its interest in certain upstream assets|9.27 am
24 Nov 2017|News highlights of the day: Chinese, Indian, Iranian firms eye $10 billion refinery in Brazil|7.04 am
21 Nov 2017|Reliance Industries raises $800 mn via 10-year bonds at lowest rate|12.20 pm
21 Nov 2017|Reliance Industries issues $800 million unsecured notes|9.51 am
21 Nov 2017|Top buy & sell ideas by Ashwani Gujral,Mitessh Thakkar & Prakash Gaba for November 21|8.34 am
21 Nov 2017|News highlights of the day: Robert Mugabe resigns as president of Zimbabwe|7.05 am
20 Nov 2017|News highlights of the day: Shia Waqf Board calls for temple in Ayodhya, mosque in Lucknow|7.01 am
17 Nov 2017|News highlights of the day: Congress says Modi govt clutching at straws to reclaim lost credibility|7.01 am
15 Nov 2017|Buy Biocon, Adani Ports, hold Eicher Motors; sell Bajaj Finance, ONGC: Sudarshan Sukhani|12.35 pm
14 Nov 2017|Reliance looks to raise USD 800 mn via bond issue|10.04 pm
14 Nov 2017|News highlights: Amit Shah confident of BJP winning 150 seats in Gujarat Assembly election|7.11 am
10 Nov 2017|RIL to foray into co-branded apparel biz with 'RElan'|6.48 pm
09 Nov 2017|Buy Reliance Industries, Tata Sponge, Britannia: Ashwani Gujral|12.23 pm
05 Nov 2017|RIL awards R-Series gas field contract to McDermott|11.42 am
03 Nov 2017|Moody's revises RIL credit outlook to stable; affirms ratings|9.03 pm
01 Nov 2017|Best Indian Brands 2017: Tata tops the list for the fifth time, Reliance Industries and Airtel follow|6.38 pm
26 Oct 2017|RIL, BP submit plan to develop deepest gas find by 2021-22|1.57 pm
26 Oct 2017|TRAI may give cos fewer days to interconnect, make norms stricter, more transparent|1.04 pm
23 Oct 2017|Buy Reliance Industries, Grasim Industries: Sandeep Wagle|3.19 pm
22 Oct 2017|6 of top 10 companies add Rs 48,372 crore to market cap|11.44 am
19 Oct 2017|Buy Biocon, Cipla, HCL Technologies, LIC Housing Finance: Sudarshan Sukhani|6.55 pm
18 Oct 2017|Buy Reliance Industries, Indraprastha Gas, Mahanagar Gas: Ashwani Gujral|3.39 pm
17 Oct 2017|After PM Modi's attack, Congress dares BJP to probe allegations against Vadra|8.50 pm
17 Oct 2017|RIL-BP to invest $1.5 bn to develop satellite gas fields|12.16 pm
16 Oct 2017|Jio catches market off-guard, but the best is yet to come|7.56 pm
16 Oct 2017|Encore! Reliance JioPhone bookings set to resume post-Diwali|3.22 pm
16 Oct 2017|News Live: Government bonds today attract bids worth over $1 bn from FPIs|7.05 am
15 Oct 2017|Reliance exits from overseas oil and gas blocks|11.51 am
13 Oct 2017|RIL up 62% in 2017 hits a fresh high ahead of Q2 results; here’s how to trade stock|12.05 pm
13 Oct 2017|Don't see major fall in RIL from hereon: BOBCAPS|11.57 am
12 Oct 2017|Govt prepares to welcome global experts on cybersecurity in November|2.26 pm
12 Oct 2017|Sell OBC, Bank of India, Union Bank; buy Aarti Industries, Century Ply: Ashwani Gujral|9.56 am
11 Oct 2017|Buy Reliance Industries, Tata Chemicals: Sandeep Wagle|11.09 am
10 Oct 2017|Buy Godrej Consumer, JSW Steel, L&T Finance; sell Bharti Airtel, Cummins: Sukhani|9.38 am
09 Oct 2017|PM Modi targets more energy reforms after meeting oil chiefs|5.40 pm
09 Oct 2017|PM Modi meets top global, Indian oil chiefs, talks investment|2.50 pm
07 Oct 2017|Buy Reliance Industries, PC Jeweller; sell Reliance Capital: Ashwani Gujral|9.09 am
06 Oct 2017|RIL sells stake in US shale gas business with Carrizo for $126 million|6.50 pm
05 Oct 2017|5 stocks which could turn multibaggers: Sharekhan|12.53 pm
05 Oct 2017|Nokia may soon enter 4G feature phone market in India|12.12 pm
05 Oct 2017|Buy Reliance Industries, M&M may move to Rs 1340-1350: Mitessh Thakkar|12.06 pm
05 Oct 2017|Buy RIL, Tata Motors DVR; sell Maruti Suzuki, Apollo Tyres: Mitessh Thakkar|9.30 am
04 Oct 2017|Buy Reliance Industries, advises Mitessh Thakkar|3.35 pm
04 Oct 2017|Buy Reliance Industries, Kotak Mahindra Bank; sell Dish TV: Ashwani Gujral|2.30 pm
