date|text|time
13 Mar 2018|TCS stake sale can increase index weightage due to higher free float: Elara|10.16 am
12 Mar 2018|Tata Sons plans to raise around Rs 8,200 cr via TCS share sale|8.19 pm
12 Mar 2018|TCS mega block deal: Tata Sons offloads TCS shares|6.32 pm
05 Mar 2018|See revival in demand for IT cos; like L&T Tech Servs, L&T Infotech: Edelweiss Sec|4.29 pm
05 Mar 2018|2018 seems to be a good year for entire IT space; like Accenture, Cognizant: Moshe Katri|9.46 am
05 Mar 2018|These are the top 10 tech companies to work for in India|8.51 am
05 Mar 2018|These are the top 10 tech companies to work for in India|8.51 am
28 Feb 2018|Confident about outpacing competitors in our space: TCS|12.41 pm
25 Feb 2018|Eight of top 10 valued companies add Rs 58,650 crore in mcap|11.52 am
21 Feb 2018|N Chandrasekaran's Marathon: One year & counting|6.53 pm
21 Feb 2018|Happy Anniversary! Top 10 Tata group stocks which rose 40-180% in last one year under N Chandra|1.23 pm
21 Feb 2018|N Chandrasekaran's one year at Tata Sons: A job well begun|12.30 pm
21 Feb 2018|Buy TCS, Hexaware Tech; sell IndusInd Bank: Yogesh Mehta|12.26 pm
20 Feb 2018|Short Nifty if it slips below 10300; 3 stocks which could give up to 7% return|9.15 am
20 Feb 2018|Markets@Moneycontrol: Nifty likely to start weak; top 3 stocks which could give up to 7% return|8.52 am
17 Jan 2018|Buy Tata Consultancy Services; target of Rs 3075: Axis Direct|5.51 pm
12 Jan 2018|Hold Tata Consultancy Services; target of Rs 2750: ICICI Direct|5.36 pm
12 Jan 2018|Hold Tata Consultancy Services; target of Rs 2806: KR Choksey|4.21 pm
12 Jan 2018|Digital deals will help improve margin: TCS|9.11 am
11 Jan 2018|No big bang opening for TCS on Friday; top 10 takeaways from December quarter results|6.58 pm
11 Jan 2018|TCS Q3 profit grows 1.3%, dollar revenue meets estimates; volume growth strongest in 3 years|5.30 pm
11 Jan 2018|Hold Tata Consultancy Services; target of Rs 2,844: Edelweiss|5.16 pm
11 Jan 2018|Hold Tata Consultancy; target of Rs 2680: JM Financial|4.10 pm
11 Jan 2018|IT sector Q3 preview: Analysts see subdued quarter on seasonal weakness; rupee may aid margins|2.41 pm
11 Jan 2018|Expect positive commentary from TCS on BFSI vertical: Edelweiss|10.51 am
10 Jan 2018|TCS to kick off Q3 earnings season; here are 5 things to watch out|11.17 pm
29 Jan 2018|News highlights of the day: Bitcoin armed robbery reports emerge from Britain|2.30 pm
27 Jan 2018|It is not over yet, this bull has more legs: There is a case for 13,000 on Nifty50|10.18 am
24 Jan 2018|Mesosphere Partners with TCS to enhance data services|3.49 pm
24 Jan 2018|News highlights of the day: Success of Aamir's films can warm Sino-India ties, says China media|7.25 am
21 Jan 2018|6 out of 10 most-valued firms add over Rs 1 lakh crore in m-cap|10.30 am
16 Jan 2018|TCS bags over $690 mn deal from M&G Prudential|3.57 pm
16 Jan 2018|Buy TCS; sell IFCI, Canara Bank: Ashwani Gujral|12.35 pm
15 Jan 2018|Is India's IT services sector getting its mojo back?|10.31 am
14 Jan 2018|Nine of 10 most valued cos add Rs 66,619 crore in m-cap|10.07 am
13 Jan 2018|Attrition falls at top IT firms TCS, Infosys in third quarter|6.32 pm
12 Jan 2018|News highlights of the day: India can't allow neighbours to drift away to China, says Army Chief|2.24 pm
12 Jan 2018|TCS bags over $2 bn deal from US insurance group Transamerica|11.16 am
12 Jan 2018|TCS falls on profit booking; UBS, Deutsche see stock at Rs 3,000 in next 1 year post Q3 nos|10.03 am
11 Jan 2018|Confused what to do with TCS on results day? 5 experts answer your question|9.13 am
10 Jan 2018|Buy TCS, Container Corporation of India: Mitessh Thakkar|3.05 pm
06 Jan 2018|Budget related cues as well as Infosys, TCS Q3 results to steer market direction this week|9.54 am
29 Dec 2017|Buy TCS, Asian Paints, TVS Motor: Ashwani Gujral|11.28 am
26 Dec 2017|Buy TCS, Bharat Electronics, Shriram Transport Finance: Chandan Taparia|10.49 am
15 Dec 2017|Edelweiss maintains hold on TCS; target at Rs 2,315|1.44 pm
08 Dec 2017|TCS biggest wealth creator in 2012-17, Ajanta Pharma the fastest: Wealth Creation Study|12.19 pm
05 Dec 2017|TCS joins hands with Cornell University to open its new innovation centre|10.00 am
27 Nov 2017|SMU and TCS renew SMU-TCS iCity Lab partnership|12.12 pm
16 Nov 2017|TCS may climb to Rs 2800, says Prakash Gaba|2.36 pm
15 Nov 2017|Rolls-Royce accelerates digital transformation with TCS tie-up|4.12 pm
15 Nov 2017|Tata Consultancy Services announces partnership with Rolls-Royce|1.32 pm
14 Nov 2017|Buy Tata Consultancy Services, Jindal Steel & Power, Yes Bank: Chandan Taparia|9.57 am
08 Nov 2017|Sell Bajaj Finance, ICICI Pru; buy Tech Mahindra, Bharti Infratel, Britannia likely to outperform: Sudarshan Sukhani|9.34 am
30 Oct 2017|Malaysia Airlines reaches cloud with Tata Consultancy Services|12.44 pm
16 Oct 2017|News Live: Government bonds today attract bids worth over $1 bn from FPIs|7.05 am
13 Oct 2017|TCS saw most visa approvals for intra-company transfers to US in last 2 years: Report|1.09 pm
13 Oct 2017|Don't see significant upside for TCS going forward: HDFC Sec|10.59 am
13 Oct 2017|Fire at IGI airport forces 2 flights to abort landing|7.02 am
12 Oct 2017|Hold TCS, says Sandeep Wagle|4.30 pm
12 Oct 2017|Stay invested in TCS: Vijay Chopra|4.26 pm
12 Oct 2017|Expect constant currency revenue growth of 2.5% on QoQ basis for TCS: Nirmal Bang|11.36 am
12 Oct 2017|Will TCS Q2 show set the tone for markets? Here’s how to trade the stock|9.43 am
08 Oct 2017|Excl: How Chandrasekaran is trying to bring consolidation, synergy, and scale in Tata Group|9.07 pm
08 Oct 2017|TCS results, IIP, inflation data to steer market this week|11.50 am
07 Oct 2017|No impact on data due to IRINN breach, TCS informs BSE|1.37 pm
06 Oct 2017|BSE seeks TCS's response on registry data breach|12.07 pm
03 Oct 2017|News LIVE: BJP President Amit Shah urges an end to communism in India|7.04 am
02 Oct 2017|TCS: Update on EPIC matter|1.29 pm
29 Sep 2017|Sell TCS; buy Gail India: Mitessh Thakkar|3.12 pm
