Difference|date|nextClose|nextDay|prevClose|prevDay|text
-1667.6499999999999|2009-10-21|1158.05|2011-01-03|2825.7|2018-03-16|Buy Tata Consultancy Services: Sharekhan
-1667.6499999999999|2009-10-22|1158.05|2011-01-03|2825.7|2018-03-16|BSNL deal: HCL Info is lowest bidder for east zone
-1667.6499999999999|2009-10-22|1158.05|2011-01-03|2825.7|2018-03-16|Hold TCS, target of Rs 700: Reliance Money
-1667.6499999999999|2009-10-23|1158.05|2011-01-03|2825.7|2018-03-16|Buy TCS, target of Rs 684: Motilal Oswal
-1667.6499999999999|2009-10-26|1158.05|2011-01-03|2825.7|2018-03-16|TCS has a target of Rs 715-720: Gujral
-1667.6499999999999|2009-10-26|1158.05|2011-01-03|2825.7|2018-03-16|Buy TCS, says Rajesh Baheti
-1667.6499999999999|2009-11-03|1158.05|2011-01-03|2825.7|2018-03-16|TCS Cardiff deal worth multi-millions: Source
-1667.6499999999999|2009-11-04|1158.05|2011-01-03|2825.7|2018-03-16|Q2 earnings review: IT cos on road to recovery
-1667.6499999999999|2009-11-09|1158.05|2011-01-03|2825.7|2018-03-16|Buy TCS; target of Rs 750: Hem Securities
-1667.6499999999999|2009-11-10|1158.05|2011-01-03|2825.7|2018-03-16|Global biggies look to India for fresh talent
-1667.6499999999999|2009-11-16|1158.05|2011-01-03|2825.7|2018-03-16|Tata Consultancy Services chief exec set to take over
-1667.6499999999999|2009-11-23|1158.05|2011-01-03|2825.7|2018-03-16|TCS sees slower Dec qtr volume growth
-1667.6499999999999|2009-12-01|1158.05|2011-01-03|2825.7|2018-03-16|TCS, Wipro, Infy in fray for Goldman Sachs' $700m IT deal
-1667.6499999999999|2009-12-04|1158.05|2011-01-03|2825.7|2018-03-16|Infosys to boost 4 business segments revenue
-1667.6499999999999|2009-12-14|1158.05|2011-01-03|2825.7|2018-03-16|Music helps Me in my Work: S Ramadorai
-1667.6499999999999|2009-12-16|1158.05|2011-01-03|2825.7|2018-03-16|TCS sole bidder for UK pension project
-1667.6499999999999|2009-12-17|1158.05|2011-01-03|2825.7|2018-03-16|Buy Tata Consultancy Services: Gujral
-1667.6499999999999|2009-12-21|1158.05|2011-01-03|2825.7|2018-03-16|TCS can touch Rs 785: Anu Jain
-1667.6499999999999|2009-12-23|1158.05|2011-01-03|2825.7|2018-03-16|Bhambwani positive on Infosys, TCS
-1667.6499999999999|2009-12-30|1158.05|2011-01-03|2825.7|2018-03-16|Expect 2010 to be a good year for IT industry: TCS
-1667.6499999999999|2010-11-30|1158.05|2011-01-03|2825.7|2018-03-16|Buy TCS on any decline: Ashwani Gujral
-1667.6499999999999|2010-12-01|1158.05|2011-01-03|2825.7|2018-03-16|Buy TCS; target of Rs 1127: IIFL
-1667.6499999999999|2010-12-03|1158.05|2011-01-03|2825.7|2018-03-16|Thacker bullish on IT, pharma sector
