Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades
BHARTIARTL,EQ,03-Jan-2011,358.8,360.9,365.0,354.75,359.7,359.35,360.59,2959476,1067161555.5,-
BHARTIARTL,EQ,04-Jan-2011,359.35,360.25,361.85,353.15,356.5,356.4,355.99,3455137,1229979132.2,-
BHARTIARTL,EQ,05-Jan-2011,356.4,355.0,356.05,347.55,348.55,349.0,350.66,2662388,933594072.8,-
BHARTIARTL,EQ,06-Jan-2011,349.0,349.15,355.3,349.15,352.3,353.2,352.85,2906492,1025541620.05,-
BHARTIARTL,EQ,07-Jan-2011,353.2,353.8,354.8,334.4,339.7,338.5,341.67,6116148,2089710660.3,-
BHARTIARTL,EQ,10-Jan-2011,338.5,340.0,343.95,335.05,339.0,339.1,340.93,2765924,942983768.05,-
BHARTIARTL,EQ,11-Jan-2011,339.1,341.0,346.9,334.0,343.8,338.45,339.63,3343270,1135466590.4,-
BHARTIARTL,EQ,12-Jan-2011,338.45,340.15,351.25,336.0,347.7,349.1,344.15,1921498,661283951.8,-
BHARTIARTL,EQ,13-Jan-2011,349.1,346.2,354.0,345.1,345.25,346.65,348.33,3211230,1118558857.85,-
BHARTIARTL,EQ,14-Jan-2011,346.65,345.1,351.45,341.25,343.3,343.75,347.02,2230501,774020124.1,-
BHARTIARTL,EQ,17-Jan-2011,343.75,340.5,352.0,339.65,350.1,348.5,346.77,3349337,1161454869.5,-
BHARTIARTL,EQ,18-Jan-2011,348.5,350.1,351.35,343.1,343.9,344.4,346.43,1990524,689574491.15,-
BHARTIARTL,EQ,19-Jan-2011,344.4,345.0,348.4,341.7,344.2,344.45,345.27,2673322,923016976.7,-
BHARTIARTL,EQ,20-Jan-2011,344.45,339.0,343.0,338.0,339.95,340.3,340.09,3473312,1181252903.7,-
BHARTIARTL,EQ,21-Jan-2011,340.3,339.95,339.95,331.0,335.9,336.05,335.17,2902544,972855840.45,-
BHARTIARTL,EQ,24-Jan-2011,336.05,336.2,337.9,332.5,333.95,333.1,334.17,2639491,882050309.65,-
BHARTIARTL,EQ,25-Jan-2011,333.1,336.65,340.85,333.1,338.0,337.75,337.07,3484518,1174509780.45,-
BHARTIARTL,EQ,27-Jan-2011,337.75,340.0,340.0,324.25,325.5,325.65,328.56,5803968,1906970990.7,-
BHARTIARTL,EQ,28-Jan-2011,325.65,327.9,332.25,322.5,327.0,327.25,328.12,3691854,1211384122.35,-
BHARTIARTL,EQ,31-Jan-2011,327.25,322.15,323.65,311.0,320.4,319.0,317.58,4287253,1361542754.5,-
BHARTIARTL,EQ,01-Feb-2011,319.0,325.0,327.85,310.0,310.5,317.1,317.79,5808961,1846028019.55,-
BHARTIARTL,EQ,02-Feb-2011,317.1,310.0,325.8,304.45,325.0,322.8,320.43,10571769,3387554103.55,-
BHARTIARTL,EQ,03-Feb-2011,322.8,320.45,342.45,320.45,341.8,339.8,333.31,6702797,2234096850.5,-
BHARTIARTL,EQ,04-Feb-2011,339.8,343.0,343.5,330.5,332.85,332.5,336.74,6523393,2196681350.65,-
BHARTIARTL,EQ,07-Feb-2011,332.5,335.0,344.25,332.0,332.25,333.85,337.15,4299876,1449690752.05,-
BHARTIARTL,EQ,08-Feb-2011,333.85,335.0,340.35,332.1,333.65,333.3,335.83,3292626,1105767589.7,-
BHARTIARTL,EQ,09-Feb-2011,333.3,326.4,336.7,324.65,333.0,332.15,330.69,3927982,1298925115.25,-
BHARTIARTL,EQ,10-Feb-2011,332.15,330.0,331.4,313.2,322.8,322.6,320.94,6221987,1996886168.45,-
BHARTIARTL,EQ,11-Feb-2011,322.6,322.7,322.7,314.0,319.55,318.9,317.64,2854900,906824357.15,-
BHARTIARTL,EQ,14-Feb-2011,318.9,323.5,328.45,315.0,326.5,327.35,324.15,3881326,1258144862.1,-
BHARTIARTL,EQ,15-Feb-2011,327.35,325.5,333.2,323.4,329.0,329.15,328.62,2820649,926916980.5,-
BHARTIARTL,EQ,16-Feb-2011,329.15,329.0,332.5,325.25,328.7,328.4,329.13,2531063,833037402.55,-
BHARTIARTL,EQ,17-Feb-2011,328.4,332.0,341.25,325.6,339.4,339.85,335.31,4956395,1661949376.8,-
BHARTIARTL,EQ,18-Feb-2011,339.85,339.0,341.3,328.1,331.0,331.35,335.31,4546532,1524490358.3,-
BHARTIARTL,EQ,21-Feb-2011,331.35,329.7,332.7,326.85,330.0,330.7,330.52,3836039,1267886289.35,-
BHARTIARTL,EQ,22-Feb-2011,330.7,327.25,334.5,323.35,332.05,330.5,328.75,4489564,1475957159.5,-
BHARTIARTL,EQ,23-Feb-2011,330.5,329.0,337.25,325.85,330.25,328.2,333.53,4290369,1430970207.9,-
BHARTIARTL,EQ,24-Feb-2011,328.2,326.0,336.4,321.5,324.5,324.4,328.92,7827783,2574676155.0,-
BHARTIARTL,EQ,25-Feb-2011,324.4,330.0,332.8,324.55,329.5,329.75,329.05,4174728,1373693762.45,-
BHARTIARTL,EQ,28-Feb-2011,329.75,330.0,334.0,324.65,331.0,331.3,330.31,5786386,1911290373.8,-
BHARTIARTL,EQ,01-Mar-2011,331.3,331.1,338.9,322.2,338.3,337.6,329.86,4908581,1619155448.6,-
BHARTIARTL,EQ,03-Mar-2011,337.6,335.5,338.4,327.1,330.8,330.15,332.91,3169994,1055310857.9,-
BHARTIARTL,EQ,04-Mar-2011,330.15,330.55,333.6,324.15,326.25,326.95,328.05,3267936,1072030081.9,-
BHARTIARTL,EQ,07-Mar-2011,326.95,325.0,326.2,319.1,326.0,324.45,322.21,2311885,744902814.65,-
BHARTIARTL,EQ,08-Mar-2011,324.45,323.6,335.25,323.0,335.1,334.85,331.57,3129835,1037763113.35,-
BHARTIARTL,EQ,09-Mar-2011,334.85,334.35,336.8,330.5,331.4,332.5,332.6,1610110,535527228.45,-
BHARTIARTL,EQ,10-Mar-2011,332.5,331.05,331.4,327.15,329.9,329.5,328.75,883897,290583115.8,-
BHARTIARTL,EQ,11-Mar-2011,329.5,328.9,331.5,321.05,322.65,322.55,324.71,3221325,1046000875.45,-
BHARTIARTL,EQ,14-Mar-2011,322.55,320.1,324.0,319.3,322.25,321.75,321.26,2725026,875437231.4,-
BHARTIARTL,EQ,15-Mar-2011,321.75,318.0,320.95,308.95,314.75,314.15,317.05,4343400,1377054260.5,-
BHARTIARTL,EQ,16-Mar-2011,314.15,315.05,322.3,315.05,320.8,320.45,319.49,3773145,1205480200.65,-
