"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades"
"RELIANCE","EQ","03-Jan-2011","       1058.70","       1065.00","       1066.50","       1052.60","       1054.40","       1055.60","       1059.73","    2379838","          2521990184.25","-"
"RELIANCE","EQ","04-Jan-2011","       1055.60","       1060.00","       1079.90","       1057.30","       1076.00","       1077.10","       1069.50","    5033831","          5383671538.50","-"
"RELIANCE","EQ","05-Jan-2011","       1077.10","       1080.00","       1090.00","       1070.00","       1075.10","       1075.80","       1081.42","    5930189","          6413029432.15","-"
"RELIANCE","EQ","06-Jan-2011","       1075.80","       1078.00","       1091.40","       1074.55","       1084.75","       1085.60","       1082.75","    4974697","          5386356479.50","-"
"RELIANCE","EQ","07-Jan-2011","       1085.60","       1081.30","       1087.75","       1058.00","       1067.00","       1065.40","       1069.47","    4085949","          4369796823.05","-"
"RELIANCE","EQ","10-Jan-2011","       1065.40","       1065.40","       1070.45","       1021.20","       1035.35","       1033.45","       1050.71","    4223855","          4438055334.75","-"
"RELIANCE","EQ","11-Jan-2011","       1033.45","       1040.00","       1048.70","        998.60","       1022.00","       1013.75","       1026.30","    4833870","          4961024807.65","-"
"RELIANCE","EQ","12-Jan-2011","       1013.75","       1020.65","       1035.65","       1003.00","       1029.70","       1030.80","       1019.66","    5301987","          5406211742.90","-"
"RELIANCE","EQ","13-Jan-2011","       1030.80","       1030.00","       1039.15","       1011.10","       1015.95","       1015.35","       1023.38","    5562896","          5692969631.05","-"
"RELIANCE","EQ","14-Jan-2011","       1015.35","       1014.05","       1029.80","        998.00","        998.15","       1001.50","       1012.62","    4368638","          4423771715.50","-"
"RELIANCE","EQ","17-Jan-2011","       1001.50","       1003.00","       1008.00","        992.05","        998.95","        997.90","       1000.13","    3210798","          3211223457.20","-"
"RELIANCE","EQ","18-Jan-2011","        997.90","       1004.85","       1008.00","        990.00","        996.90","        994.85","        996.60","    3399381","          3387834901.15","-"
"RELIANCE","EQ","19-Jan-2011","        994.85","        999.60","       1005.00","        975.00","        981.40","        980.15","        993.27","    5369775","          5333612717.05","-"
"RELIANCE","EQ","20-Jan-2011","        980.15","        977.60","        977.60","        954.55","        968.65","        969.85","        966.86","    9450384","          9137167623.50","-"
"RELIANCE","EQ","21-Jan-2011","        969.85","        975.00","        992.50","        973.00","        987.20","        986.80","        985.11","    4463927","          4397476833.25","-"
"RELIANCE","EQ","24-Jan-2011","        986.80","        995.10","        995.90","        964.10","        972.55","        971.60","        973.67","    5084310","          4950438351.90","-"
"RELIANCE","EQ","25-Jan-2011","        971.60","        977.10","        984.95","        956.25","        958.40","        958.50","        970.32","    4646080","          4508181430.00","-"
"RELIANCE","EQ","27-Jan-2011","        958.50","        966.00","        967.40","        940.00","        943.85","        942.70","        952.70","    6424365","          6120492172.90","-"
"RELIANCE","EQ","28-Jan-2011","        942.70","        945.00","        945.90","        902.00","        917.80","        913.00","        919.74","    7738844","          7117693886.65","-"
"RELIANCE","EQ","31-Jan-2011","        913.00","        908.85","        928.85","        903.10","        919.80","        919.30","        918.40","    5790572","          5318039601.60","-"
"RELIANCE","EQ","01-Feb-2011","        919.30","        925.10","        927.70","        888.55","        894.60","        895.50","        903.10","    8663045","          7823621273.95","-"
"RELIANCE","EQ","02-Feb-2011","        895.50","        910.00","        927.90","        907.30","        923.00","        921.30","        919.50","    6506784","          5982988364.85","-"
"RELIANCE","EQ","03-Feb-2011","        921.30","        928.00","        947.50","        915.00","        947.00","        943.90","        934.37","    3896824","          3641066010.55","-"
"RELIANCE","EQ","04-Feb-2011","        943.90","        947.40","        947.40","        913.15","        917.00","        920.00","        927.16","    4735179","          4390253871.45","-"
"RELIANCE","EQ","07-Feb-2011","        920.00","        925.70","        938.80","        914.40","        928.90","        929.05","        926.96","    3334195","          3090670173.85","-"
"RELIANCE","EQ","08-Feb-2011","        929.05","        935.70","        935.70","        911.25","        917.00","        915.25","        918.84","    4499736","          4134522717.20","-"
"RELIANCE","EQ","09-Feb-2011","        915.25","        908.40","        937.20","        903.65","        919.75","        914.30","        923.19","    8738283","          8067078841.50","-"
"RELIANCE","EQ","10-Feb-2011","        914.30","        912.50","        920.80","        885.10","        899.00","        899.65","        900.33","    6479831","          5833979664.95","-"
"RELIANCE","EQ","11-Feb-2011","        899.65","        899.95","        915.00","        888.05","        910.75","        909.95","        899.83","    4574486","          4116269861.35","-"
"RELIANCE","EQ","14-Feb-2011","        909.95","        906.10","        918.25","        894.10","        915.10","        914.80","        907.41","    6890857","          6252861727.05","-"
"RELIANCE","EQ","15-Feb-2011","        914.80","        914.40","        944.80","        911.30","        942.00","        941.70","        930.50","    6232645","          5799481570.25","-"
"RELIANCE","EQ","16-Feb-2011","        941.70","        938.30","        950.80","        938.10","        943.70","        944.15","        946.12","    2523913","          2387916577.80","-"
"RELIANCE","EQ","17-Feb-2011","        944.15","        947.85","        955.45","        936.25","        953.95","        953.95","        947.93","    3221065","          3053341945.95","-"
