Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades
TCS,EQ,03-Jan-2011,1165.65,1167.0,1176.95,1154.55,1158.0,1158.05,1162.96,702521,817004362.85,-
TCS,EQ,04-Jan-2011,1158.05,1163.9,1166.15,1138.1,1142.1,1144.75,1154.16,1251434,1444351130.85,-
TCS,EQ,05-Jan-2011,1144.75,1145.25,1165.9,1141.75,1160.0,1158.95,1154.89,1534837,1772568663.05,-
TCS,EQ,06-Jan-2011,1158.95,1168.0,1182.0,1153.1,1181.0,1171.7,1164.4,1423360,1657361934.55,-
TCS,EQ,07-Jan-2011,1171.7,1176.0,1186.85,1138.15,1139.5,1142.65,1159.82,1266362,1468752976.45,-
TCS,EQ,10-Jan-2011,1142.65,1147.5,1149.0,1121.0,1123.7,1130.9,1133.38,1976213,2239793499.55,-
TCS,EQ,11-Jan-2011,1130.9,1123.0,1135.55,1087.8,1108.0,1098.5,1109.36,1884365,2090440983.6,-
TCS,EQ,12-Jan-2011,1098.5,1109.9,1151.6,1108.0,1132.0,1135.95,1130.76,1580437,1787087391.1,-
TCS,EQ,13-Jan-2011,1135.95,1128.95,1155.95,1116.2,1125.25,1124.25,1131.65,2794599,3162502979.85,-
TCS,EQ,14-Jan-2011,1124.25,1129.9,1150.0,1120.0,1120.2,1120.15,1125.85,1575846,1774164052.8,-
TCS,EQ,17-Jan-2011,1120.15,1121.2,1146.55,1120.0,1139.2,1137.4,1135.15,1500106,1702840399.95,-
TCS,EQ,18-Jan-2011,1137.4,1174.0,1208.9,1164.35,1196.45,1202.55,1188.05,4240685,5038138330.8,-
TCS,EQ,19-Jan-2011,1202.55,1203.45,1209.0,1185.0,1194.15,1193.0,1192.72,1476020,1760481172.0,-
TCS,EQ,20-Jan-2011,1193.0,1180.0,1218.75,1180.0,1213.0,1212.2,1209.86,2272604,2749523938.85,-
TCS,EQ,21-Jan-2011,1212.2,1210.0,1220.0,1204.0,1212.0,1211.65,1212.1,1298702,1574156812.45,-
TCS,EQ,24-Jan-2011,1211.65,1200.0,1220.0,1198.25,1206.0,1209.2,1209.92,1008339,1220005023.9,-
TCS,EQ,25-Jan-2011,1209.2,1214.8,1219.3,1180.0,1198.0,1188.55,1202.79,1233547,1483701990.95,-
TCS,EQ,27-Jan-2011,1188.55,1187.55,1209.95,1181.6,1200.0,1199.4,1197.07,2357059,2821576014.15,-
TCS,EQ,28-Jan-2011,1199.4,1195.0,1203.6,1165.25,1187.4,1181.35,1182.39,1507289,1782205433.85,-
TCS,EQ,31-Jan-2011,1181.35,1169.0,1169.0,1128.55,1160.0,1159.5,1144.84,2970408,3400628008.3,-
TCS,EQ,01-Feb-2011,1159.5,1165.0,1165.0,1133.0,1150.5,1150.15,1147.35,2106354,2416723190.35,-
TCS,EQ,02-Feb-2011,1150.15,1170.0,1198.9,1162.35,1191.0,1182.45,1186.0,1968809,2334998156.15,-
TCS,EQ,03-Feb-2011,1182.45,1184.7,1195.7,1170.65,1179.6,1183.7,1185.12,941706,1116029932.95,-
TCS,EQ,04-Feb-2011,1183.7,1176.0,1183.1,1140.25,1154.35,1148.8,1155.87,1728800,1998269215.2,-
TCS,EQ,07-Feb-2011,1148.8,1173.5,1173.5,1126.5,1131.45,1131.15,1143.35,1289191,1474002848.8,-
TCS,EQ,08-Feb-2011,1131.15,1132.0,1149.9,1118.5,1125.3,1125.1,1134.56,2644319,3000149081.1,-
TCS,EQ,09-Feb-2011,1125.1,1122.5,1129.6,1083.7,1107.0,1098.3,1111.0,3006366,3340065735.4,-
TCS,EQ,10-Feb-2011,1098.3,1100.0,1114.5,1072.0,1095.0,1090.75,1086.93,2275911,2473758227.0,-
TCS,EQ,11-Feb-2011,1090.75,1084.1,1104.2,1055.9,1085.25,1089.6,1077.62,1472528,1586818351.05,-
TCS,EQ,14-Feb-2011,1089.6,1091.0,1120.0,1087.0,1114.0,1112.3,1106.85,1231274,1362835339.05,-
TCS,EQ,15-Feb-2011,1112.3,1119.0,1119.0,1076.55,1099.0,1097.7,1091.78,1812713,1979075629.7,-
TCS,EQ,16-Feb-2011,1097.7,1105.0,1109.7,1081.0,1098.95,1096.5,1095.65,1232296,1350167386.5,-
TCS,EQ,17-Feb-2011,1096.5,1105.0,1114.45,1092.4,1108.0,1109.2,1106.27,738880,817399852.75,-
TCS,EQ,18-Feb-2011,1109.2,1110.25,1132.4,1082.1,1092.05,1089.7,1113.83,2038464,2270496667.1,-
TCS,EQ,21-Feb-2011,1089.7,1090.0,1148.0,1058.2,1136.8,1138.6,1106.06,2828900,3128920731.15,-
TCS,EQ,22-Feb-2011,1138.6,1122.65,1147.7,1120.0,1138.25,1138.75,1136.92,1652700,1878995154.8,-
TCS,EQ,23-Feb-2011,1138.75,1128.15,1144.95,1123.1,1123.9,1125.55,1132.14,939672,1063842509.55,-
TCS,EQ,24-Feb-2011,1125.55,1119.0,1138.75,1091.3,1109.75,1111.8,1115.27,2689415,2999435413.35,-
TCS,EQ,25-Feb-2011,1111.8,1105.3,1117.0,1088.25,1110.2,1110.05,1104.32,1535237,1695389292.85,-
TCS,EQ,28-Feb-2011,1110.05,1101.2,1148.25,1100.0,1111.7,1110.25,1116.54,1614698,1802876556.35,-
TCS,EQ,01-Mar-2011,1110.25,1113.0,1132.0,1097.6,1119.85,1124.5,1115.6,1583902,1767004435.35,-
TCS,EQ,03-Mar-2011,1124.5,1119.9,1155.0,1107.0,1150.1,1150.2,1135.24,1726300,1959770617.3,-
TCS,EQ,04-Mar-2011,1150.2,1163.35,1163.35,1132.5,1135.3,1135.55,1146.94,1030599,1182036663.75,-
TCS,EQ,07-Mar-2011,1135.55,1124.0,1125.0,1094.45,1107.45,1108.25,1108.86,2092294,2320055941.6,-
TCS,EQ,08-Mar-2011,1108.25,1105.15,1128.8,1105.15,1120.85,1117.7,1119.79,1973951,2210403597.8,-
TCS,EQ,09-Mar-2011,1117.7,1122.55,1138.0,1118.5,1119.55,1126.7,1126.81,1212243,1365969988.55,-
TCS,EQ,10-Mar-2011,1126.7,1122.0,1122.0,1100.0,1108.25,1108.55,1108.42,935662,1037109948.9,-
TCS,EQ,11-Mar-2011,1108.55,1100.0,1102.4,1063.3,1080.6,1077.05,1081.45,2506441,2710579632.6,-
TCS,EQ,14-Mar-2011,1077.05,1071.0,1102.0,1058.4,1095.0,1097.55,1079.84,1624309,1753998752.15,-
TCS,EQ,15-Mar-2011,1097.55,1075.0,1095.45,1065.65,1092.85,1089.8,1084.96,1705934,1850865088.5,-
TCS,EQ,16-Mar-2011,1089.8,1092.0,1123.45,1091.15,1121.0,1114.85,1112.01,1338937,1488916006.45,-
TCS,EQ,17-Mar-2011,1114.85,1105.0,1118.9,1092.65,1099.1,1098.0,1101.73,1028051,1132638885.5,-
TCS,EQ,18-Mar-2011,1098.0,1093.5,1109.0,1076.1,1081.0,1082.75,1083.07,1105674,1197517240.4,-
TCS,EQ,21-Mar-2011,1082.75,1091.5,1091.5,1066.5,1071.0,1070.8,1075.94,1309545,1408986677.65,-
TCS,EQ,22-Mar-2011,1070.8,1075.1,1080.0,1063.0,1069.7,1069.5,1071.21,1328887,1423522335.2,-
TCS,EQ,23-Mar-2011,1069.5,1071.0,1071.0,1057.25,1063.95,1064.35,1064.21,2176124,2315843583.6,-
TCS,EQ,24-Mar-2011,1064.35,1071.0,1095.55,1070.0,1090.95,1093.4,1085.97,1547417,1680445483.55,-
TCS,EQ,25-Mar-2011,1093.4,1116.85,1128.5,1103.75,1117.8,1119.65,1116.61,2073217,2314967999.75,-
TCS,EQ,28-Mar-2011,1119.65,1123.85,1126.7,1108.0,1125.0,1119.9,1117.85,1124321,1256819928.1,-
TCS,EQ,29-Mar-2011,1119.9,1120.0,1151.9,1119.15,1139.15,1138.7,1139.82,1579794,1800674665.5,-
TCS,EQ,30-Mar-2011,1138.7,1148.0,1164.0,1144.9,1157.95,1151.95,1155.44,1147385,1325737207.5,-
TCS,EQ,31-Mar-2011,1151.95,1152.0,1198.0,1152.0,1182.0,1183.9,1183.57,3697063,4375747419.7,-
TCS,EQ,01-Apr-2011,1183.9,1185.0,1198.75,1172.55,1181.9,1180.15,1181.93,899812,1063511158.85,-
TCS,EQ,04-Apr-2011,1180.15,1185.0,1216.0,1184.0,1215.0,1213.2,1200.35,1155808,1387374105.95,-
TCS,EQ,05-Apr-2011,1213.2,1215.05,1243.95,1203.75,1238.0,1239.85,1221.74,1445507,1766039561.7,-
TCS,EQ,06-Apr-2011,1239.85,1239.0,1246.95,1214.15,1214.15,1221.85,1229.05,1211176,1488593712.65,-
